,Read,Predicted,Difference
0,-0.0,79.5,79.5
1,76.5,89.53,13.030000000000001
2,68.0,85.02,17.019999999999996
3,76.5,90.51,14.010000000000005
4,76.5,89.51,13.010000000000005
5,76.5,88.71,12.209999999999994
6,58.67,77.38,18.709999999999994
7,68.0,81.97,13.969999999999999
8,76.5,84.4,7.900000000000006
9,76.5,84.4,7.900000000000006
10,86.0,84.47,1.5300000000000011
11,43.0,84.63,41.629999999999995
12,86.0,84.47,1.5300000000000011
13,63.0,77.05,14.049999999999997
14,86.0,86.3,0.29999999999999716
15,63.0,81.58,18.58
16,63.0,83.25,20.25
17,86.0,84.47,1.5300000000000011
18,86.0,84.47,1.5300000000000011
19,63.0,83.25,20.25
20,86.0,86.3,0.29999999999999716
21,63.75,87.22,23.47
22,86.0,84.47,1.5300000000000011
23,86.0,84.47,1.5300000000000011
24,76.5,87.84,11.340000000000003
25,60.27,93.7,33.43
26,68.0,83.59,15.590000000000003
27,68.0,81.08,13.079999999999998
28,76.5,87.71,11.209999999999994
29,60.0,70.97,10.969999999999999
30,55.8,96.05,40.25
31,52.36,86.05,33.69
32,49.74,86.98,37.24
33,76.5,88.08,11.579999999999998
34,68.0,88.58,20.58
35,68.0,86.67,18.67
36,93.6,99.88,6.280000000000001
37,76.5,89.12,12.620000000000005
38,76.5,88.15,11.650000000000006
39,76.5,88.13,11.629999999999995
40,76.5,87.29,10.790000000000006
41,68.0,87.41,19.409999999999997
42,68.0,85.38,17.379999999999995
43,81.0,90.06,9.060000000000002
44,76.08,85.7,9.620000000000005
45,76.5,91.18,14.680000000000007
46,76.5,89.15,12.650000000000006
47,37.33,79.02,41.69
48,76.5,88.58,12.079999999999998
49,90.0,90.06,0.060000000000002274
50,45.0,87.82,42.81999999999999
51,45.0,88.15,43.150000000000006
52,76.5,86.73,10.230000000000004
53,62.37,84.24,21.869999999999997
54,48.6,96.19,47.589999999999996
55,48.6,96.19,47.589999999999996
56,48.6,85.97,37.37
57,62.0,74.38,12.379999999999995
58,76.5,90.53,14.030000000000001
59,67.5,81.3,13.799999999999997
60,76.5,92.17,15.670000000000002
61,76.5,84.87,8.370000000000005
62,76.5,88.44,11.939999999999998
63,68.85,86.59,17.74000000000001
64,68.85,97.33,28.480000000000004
65,100.0,85.57,14.430000000000007
66,76.5,90.05,13.549999999999997
67,58.9,87.05,28.15
68,63.75,82.93,19.180000000000007
69,68.85,88.25,19.400000000000006
70,76.5,81.78,5.280000000000001
71,68.0,88.74,20.739999999999995
72,106.25,87.88,18.370000000000005
73,58.9,89.21,30.309999999999995
74,58.9,89.21,30.309999999999995
